Scheme,Average_BER,Average_Throughput_Mbps
BPSK,0.0140545464192857,0.985945453580714
QPSK,0.0140545464192857,1.97189090716143
16QAM,0.033317165410429,3.86673133835828
Adaptive,0.035302375,2.318264
